apache/kafka	Mirror of Apache Kafka	public	2023-09-14T17:20:09Z
apache/incubator-opendal	Apache OpenDAL: access data freely.	public	2023-09-14T17:19:39Z
apache/cassandra-accord	Accord Distributed Consensus Protocol for Apache Cassandra	public	2023-09-14T17:18:46Z
apache/beam	Apache Beam is a unified programming model for Batch and Streaming data processing.	public	2023-09-14T17:18:17Z
apache/activemq-artemis	Mirror of Apache ActiveMQ Artemis	public	2023-09-14T17:16:54Z
apache/tvm-site	repo for tvm	public	2023-09-14T17:15:23Z
apache/iceberg	Apache Iceberg	public	2023-09-14T17:15:16Z
apache/hadoop	Apache Hadoop	public	2023-09-14T17:13:38Z
apache/spark	Apache Spark - A unified analytics engine for large-scale data processing	public	2023-09-14T17:13:22Z
apache/trafficcontrol	Apache Traffic Control is an Open Source implementation of a Content Delivery Network	public	2023-09-14T17:13:16Z
apache/arrow	Apache Arrow is a multi-language toolbox for accelerated data interchange and in-memory processing	public	2023-09-14T17:12:58Z
apache/trafficserver	Apache Traffic Server™ is a fast, scalable and extensible HTTP/1.1 and HTTP/2 compliant caching proxy server.	public	2023-09-14T17:12:20Z
apache/incubator-pegasus	Apache Pegasus - A horizontally scalable, strongly consistent and high-performance key-value store	public	2023-09-14T17:11:59Z
apache/nuttx	Apache NuttX is a mature, real-time embedded operating system (RTOS)	public	2023-09-14T17:10:04Z
apache/ozone	Scalable, redundant, and distributed object store for Apache Hadoop	public	2023-09-14T17:09:57Z
apache/superset	Apache Superset is a Data Visualization and Data Exploration Platform	public	2023-09-14T17:08:45Z
apache/incubator-streampark	StreamPark, Make stream processing easier! easy-to-use streaming application development framework and operation platform	public	2023-09-14T17:08:22Z
apache/cassandra-sidecar	Sidecar for Apache Cassandra	public	2023-09-14T17:08:20Z
apache/maven-resolver	Apache Maven Artifact Resolver	public	2023-09-14T17:07:02Z
apache/brooklyn-server	Apache Brooklyn Server	public	2023-09-14T17:06:33Z
apache/arrow-rs	Official Rust implementation of Apache Arrow	public	2023-09-14T17:06:28Z
apache/camel-karavan	Karavan an Integration Toolkit for Apache Camel	public	2023-09-14T17:05:24Z
apache/flink	Apache Flink	public	2023-09-14T17:03:59Z
apache/lucene	Apache Lucene open-source search software	public	2023-09-14T17:02:51Z
apache/hive	Apache Hive	public	2023-09-14T17:02:35Z
apache/phoenix	Mirror of Apache Phoenix	public	2023-09-14T17:01:22Z
apache/phoenix-queryserver	Apache Phoenix Query Server	public	2023-09-14T17:01:16Z
apache/kudu	Mirror of Apache Kudu	public	2023-09-14T17:00:55Z
apache/nifi-minifi-cpp	Mirror of Apache Nifi Minifi CPP	public	2023-09-14T17:00:47Z
apache/couchdb	Seamless multi-master syncing database with an intuitive HTTP/JSON API, designed for reliability	public	2023-09-14T17:00:33Z
apache/tika	The Apache Tika toolkit detects and extracts metadata and text from over a thousand different file types (such as PPT, XLS, and PDF).	public	2023-09-14T16:59:34Z
apache/nifi	Apache NiFi	public	2023-09-14T16:59:12Z
apache/airflow	Apache Airflow - A platform to programmatically author, schedule, and monitor workflows	public	2023-09-14T16:58:06Z
apache/cloudstack	Apache CloudStack is an opensource Infrastructure as a Service (IaaS) cloud computing platform	public	2023-09-14T16:57:45Z
apache/calcite	Apache Calcite	public	2023-09-14T16:56:05Z
apache/ambari	Apache Ambari simplifies provisioning, managing, and monitoring of Apache Hadoop clusters.	public	2023-09-14T16:56:02Z
apache/hudi	Upserts, Deletes And Incremental Processing on Big Data.	public	2023-09-14T16:55:07Z
apache/camel	Apache Camel is an open source integration framework that empowers you to quickly and easily integrate various systems consuming or producing data.	public	2023-09-14T16:51:46Z
apache/streampipes	Apache StreamPipes - A self-service (Industrial) IoT toolbox to enable non-technical users to connect, analyze and explore IoT data streams.	public	2023-09-14T16:51:29Z
apache/sedona	A cluster computing framework for processing large-scale geospatial data	public	2023-09-14T16:50:35Z
apache/shenyu	Apache ShenYu is a Java native API Gateway for service proxy, protocol conversion and API governance.	public	2023-09-14T16:49:01Z
apache/gobblin	A distributed data integration framework that simplifies common aspects of big data integration such as data ingestion, replication, organization and lifecycle management for both streaming and batch data ecosystems.	public	2023-09-14T16:48:26Z
apache/druid	Apache Druid: a high performance real-time analytics database.	public	2023-09-14T16:41:12Z
apache/accumulo	Apache Accumulo	public	2023-09-14T16:37:15Z
apache/arrow-datafusion	Apache Arrow DataFusion SQL Query Engine	public	2023-09-14T16:28:22Z
apache/solr	Apache Solr open-source search software	public	2023-09-14T16:27:32Z
apache/iceberg-go	Apache Iceberg - Go	public	2023-09-14T16:26:22Z
apache/www-site	The ASF Website	public	2023-09-14T16:23:13Z
apache/infrastructure-website	ASF Infrastructure Team Website Repository	public	2023-09-14T16:22:26Z
apache/apisix-ingress-controller	APISIX Ingress Controller for Kubernetes	public	2023-09-14T16:21:27Z
apache/tvm	Open deep learning compiler stack for cpu, gpu and specialized accelerators	public	2023-09-14T16:20:25Z
apache/cassandra	Mirror of Apache Cassandra	public	2023-09-14T16:19:54Z
apache/doris	Apache Doris is an easy-to-use, high performance and unified analytics database.	public	2023-09-14T16:17:18Z
apache/hbase	Apache HBase	public	2023-09-14T16:16:31Z
