python/cpython	The Python programming language	public	2023-09-14T16:46:06Z
python/mypy	Optional static typing for Python	public	2023-09-14T15:45:07Z
python/peps	Python Enhancement Proposals	public	2023-09-14T13:35:33Z
python/buildmaster-config	Configuration for buildbot.python.org	public	2023-09-14T08:45:04Z
python/python-docs-uk	Ukrainian translation of the Python Documentation	public	2023-09-14T06:09:55Z
python/devguide	The Python developer's guide	public	2023-09-14T05:38:46Z
python/python-docs-zh-tw	Traditional Chinese (zh-TW) translation of the Python Documentation	public	2023-09-14T03:43:59Z
python/python-docs-zh-cn	zh_CN translation of the Python documentation	public	2023-09-13T23:56:19Z
python/python-docs-pl	Polskie tłumaczenie dokumentacji Pythona	public	2023-09-13T21:38:56Z
python/importlib_resources	Backport of the importlib.resources module	public	2023-09-13T12:20:28Z
python/typeshed	Collection of library stubs for Python, with static types	public	2023-09-13T10:38:02Z
python/python-docs-ja		public	2023-09-12T23:50:49Z
python/python-docs-pt-br	Brazilian Portuguese translation of the Python Documentation	public	2023-09-12T23:16:19Z
python/python-docs-tr	Turkish Translation of the Python Documentation	public	2023-09-12T17:59:13Z
python/bedevere	A bot to help identify missing information for CPython pull requests	public	2023-09-11T12:09:50Z
python/importlib_metadata	Backport of the importlib.metadata module	public	2023-09-10T17:28:27Z
python/mypy_extensions	Extensions for mypy	public	2023-09-09T21:40:39Z
python/typing_extensions	Backported and experimental type hints for Python	public	2023-09-08T17:50:42Z
python/psf-salt	PSF infrastructure configuration	public	2023-09-07T15:48:56Z
python/docs-community	Community management for documentation contributors and the Docs Workgroup	public	2023-09-07T14:41:55Z
python/python-docs-es	Spanish translation of the Python documentation.	public	2023-09-04T23:39:10Z
python/typing	Python static typing home. Hosts the documentation and a user help forum.	public	2023-09-04T12:24:01Z
python/cpython-source-deps	Source for packages that the cpython build process depends on	public	2023-09-02T08:54:49Z
python/miss-islington	🐍🍒⛏🤖 - A bot for backporting and merging CPython pull requests	public	2023-09-02T08:48:21Z
python/blurb_it	`blurb add` over the internet	public	2023-09-01T06:08:37Z
python/planet	Configuration for Python planets (e.g. http://planetpython.org)	public	2023-08-31T09:40:39Z
python/docsbuild-scripts	scripts for building documentation on docs.python.org	public	2023-08-31T09:29:13Z
python/python-docs-theme	Sphinx theme for Python documentation	public	2023-08-29T18:46:34Z
python/steering-council	Communications from the Steering Council	public	2023-08-29T15:52:41Z
python/cpython-bin-deps	Binaries that the cpython build process depends on	public	2023-08-28T20:06:40Z
python/pythoncapi-compat	The pythoncapi-compat project can be used to write a C extension supporting a wide range of Python versions with a single code base.	public	2023-08-24T22:53:04Z
python/pythondotorg	Source code for python.org	public	2023-08-24T15:57:03Z
python/cherry-picker	🐍🍒⛏ Utility script for backporting/cherry-picking CPython changes from master into one of the maintenance branches.	public	2023-08-15T21:18:43Z
python/pyperformance	Python Performance Benchmark Suite	public	2023-08-14T23:02:23Z
